"good (Invalid)"
#size  time  vps
    0  0.02  246828.26
    1  0.33   15337.56
    2  0.54    9306.88
    3  0.71    7077.13
    4  0.77    6483.25
    5  0.79    6296.72
    6  0.91    5473.54
    7  1.05    4773.86
    8  1.15    4339.57
    9  1.27    3931.68
   10  1.40    3583.63
   11  1.49    3349.62
   12  1.63    3058.29
   13  1.75    2862.18
   14  1.86    2683.30
   15  1.97    2534.20
   16  2.11    2366.91
   17  2.30    2178.61
   18  2.34    2137.44
   19  2.51    1993.79
   20  2.63    1900.03
   21  2.75    1815.55
   22  2.88    1734.13
   23  2.98    1675.82
   24  3.22    1550.53
   25  3.31    1510.75
   26  3.37    1484.74
   27  3.56    1403.30
   28  3.58    1398.42
   29  3.79    1319.27
   30  3.75    1332.64


"voluptuous (Invalid)"
#size  time  vps
    0  0.01  401735.50
    1  0.13   37230.64
    2  0.20   24446.29
    3  0.25   20015.53
    4  0.28   17959.77
    5  0.18   27772.84
    6  0.45   11111.85
    7  0.44   11289.82
    8  0.49   10269.01
    9  0.52    9544.33
   10  0.66    7556.73
   11  0.54    9324.86
   12  0.65    7667.86
   13  0.76    6594.28
   14  0.84    5973.93
   15  0.86    5805.83
   16  0.94    5347.12
   17  0.89    5648.10
   18  0.97    5157.95
   19  0.96    5199.94
   20  1.12    4475.85
   21  1.10    4527.62
   22  0.91    5473.78
   23  0.97    5178.95
   24  1.11    4499.92
   25  1.09    4585.99
   26  1.09    4607.05
   27  1.13    4426.90
   28  1.17    4266.07
   29  1.17    4279.87
   30  1.08    4618.92


"good (Valid)"
#size  time  vps
    0  0.02  253446.88
    1  0.05  100822.71
    2  0.09   55913.40
    3  0.11   44316.03
    4  0.12   41869.73
    5  0.13   38439.66
    6  0.15   33973.39
    7  0.17   29181.91
    8  0.18   28280.38
    9  0.19   26417.85
   10  0.21   24212.02
   11  0.21   23352.16
   12  0.24   21023.86
   13  0.24   20514.42
   14  0.26   18983.33
   15  0.29   17425.18
   16  0.28   17565.74
   17  0.30   16946.57
   18  0.31   15903.97
   19  0.34   14862.55
   20  0.35   14091.22
   21  0.38   13132.53
   22  0.36   13721.60
   23  0.38   13111.25
   24  0.39   12695.06
   25  0.41   12178.75
   26  0.42   12018.16
   27  0.44   11385.27
   28  0.46   10821.48
   29  0.47   10731.36
   30  0.48   10455.94


"voluptuous (Valid)"
#size  time  vps
    0  0.01  355745.29
    1  0.04  117896.72
    2  0.13   38142.90
    3  0.20   25358.57
    4  0.32   15407.85
    5  0.44   11393.75
    6  0.59    8467.10
    7  0.70    7164.55
    8  0.82    6119.07
    9  1.02    4903.20
   10  1.23    4079.53
   11  1.28    3904.94
   12  1.59    3136.06
   13  1.76    2846.89
   14  2.11    2364.22
   15  2.34    2133.50
   16  2.53    1973.58
   17  2.97    1681.60
   18  2.62    1907.78
   19  3.63    1377.40
   20  3.99    1254.13
   21  4.01    1245.38
   22  3.66    1364.29
   23  4.42    1130.68
   24  4.55    1099.76
   25  4.81    1038.55
   26  4.23    1182.08
   27  5.71     875.02
   28  5.13     973.79
   29  5.92     844.79
   30  5.71     876.34


